Away Team,Away Score,Home Team,Home Score
Chicago Cubs,7,Cincinnati Reds,4
Cleveland Guardians,6,Houston Astros,1
Detroit Tigers,4,Minnesota Twins,5
Baltimore Orioles,6,New York Yankees,4
Colorado Rockies,1,Pittsburgh Pirates,2
Milwaukee Brewers,2,San Diego Padres,3
Oakland Athletics,6,Seattle Mariners,7
New York Mets,13,San Francisco Giants,3
Toronto Blue Jays,3,St. Louis Cardinals,7
Los Angeles Dodgers,10,Washington Nationals,1
Texas Rangers,3,Los Angeles Angels,5
Kansas City Royals,6,Arizona D'Backs,8
Philadelphia Phillies,5,Atlanta Braves,6
Boston Red Sox,16,Chicago White Sox,3
Chicago Cubs,11,Cincinnati Reds,4
Cleveland Guardians,3,Houston Astros,7
Detroit Tigers,0,Minnesota Twins,2
Baltimore Orioles,6,New York Yankees,7
Colorado Rockies,2,Pittsburgh Pirates,1
Milwaukee Brewers,4,San Diego Padres,1
Oakland Athletics,7,Seattle Mariners,5
New York Mets,12,San Francisco Giants,13
Toronto Blue Jays,8,St. Louis Cardinals,1
Miami Marlins,0,Tampa Bay Rays,4
Los Angeles Dodgers,9,Washington Nationals,4
Texas Rangers,7,Los Angeles Angels,2
Philadelphia Phillies,4,Atlanta Braves,8
Boston Red Sox,1,Chicago White Sox,3
Chicago Cubs,3,Cincinnati Reds,4
Cleveland Guardians,1,Houston Astros,2
Detroit Tigers,4,Minnesota Twins,2
Baltimore Orioles,0,New York Yankees,2
Colorado Rockies,5,Pittsburgh Pirates,10
Milwaukee Brewers,2,San Diego Padres,1
Oakland Athletics,4,Seattle Mariners,2
New York Mets,3,San Francisco Giants,9
Miami Marlins,4,Tampa Bay Rays,5
Los Angeles Dodgers,0,Washington Nationals,1
Toronto Blue Jays,6,Los Angeles Angels,3
Los Angeles Dodgers,14,Arizona D'Backs,1
Philadelphia Phillies,4,Atlanta Braves,1
Boston Red Sox,16,Chicago White Sox,7
Chicago Cubs,5,Cincinnati Reds,20
Cleveland Guardians,3,Detroit Tigers,4
Kansas City Royals,3,Minnesota Twins,2
Texas Rangers,4,Oakland Athletics,1
Milwaukee Brewers,4,St. Louis Cardinals,3
New York Yankees,7,Tampa Bay Rays,2
Colorado Rockies,3,Washington Nationals,7
Toronto Blue Jays,4,Los Angeles Angels,3
Los Angeles Dodgers,6,Arizona D'Backs,4
Miami Marlins,4,Atlanta Braves,6
Baltimore Orioles,12,Boston Red Sox,8
San Francisco Giants,1,Cincinnati Reds,5
Kansas City Royals,7,Minnesota Twins,10
Philadelphia Phillies,6,New York Mets,8
Texas Rangers,8,Oakland Athletics,5
Pittsburgh Pirates,3,San Diego Padres,4
Houston Astros,1,Seattle Mariners,6
Milwaukee Brewers,2,St. Louis Cardinals,4
New York Yankees,2,Tampa Bay Rays,0
Toronto Blue Jays,6,Los Angeles Angels,5
Los Angeles Dodgers,3,Arizona D'Backs,2
Miami Marlins,4,Atlanta Braves,1
Baltimore Orioles,3,Boston Red Sox,5
Baltimore Orioles,4,Boston Red Sox,2
Chicago Cubs,5,Chicago White Sox,1
San Francisco Giants,2,Cincinnati Reds,3
Cleveland Guardians,8,Detroit Tigers,1
Kansas City Royals,7,Minnesota Twins,3
Philadelphia Phillies,2,New York Mets,8
Texas Rangers,11,Oakland Athletics,4
Pittsburgh Pirates,4,San Diego Padres,2
Houston Astros,0,Seattle Mariners,6
Milwaukee Brewers,3,St. Louis Cardinals,8
New York Yankees,1,Tampa Bay Rays,3
Colorado Rockies,7,Washington Nationals,13
Colorado Rockies,3,Washington Nationals,2
Toronto Blue Jays,11,Los Angeles Angels,10
Los Angeles Dodgers,3,Arizona D'Backs,1
Miami Marlins,3,Atlanta Braves,6
Baltimore Orioles,2,Boston Red Sox,12
Chicago Cubs,4,Chicago White Sox,5
San Francisco Giants,6,Cincinnati Reds,4
Cleveland Guardians,1,Detroit Tigers,2
Kansas City Royals,3,Minnesota Twins,7
Philadelphia Phillies,4,New York Mets,5
Texas Rangers,5,Oakland Athletics,6
Pittsburgh Pirates,2,San Diego Padres,4
Houston Astros,2,Seattle Mariners,1
Milwaukee Brewers,8,St. Louis Cardinals,0
New York Yankees,2,Tampa Bay Rays,4
Colorado Rockies,5,Washington Nationals,6
Atlanta Braves,2,Arizona D'Backs,6
Baltimore Orioles,10,Boston Red Sox,0
Milwaukee Brewers,7,Chicago Cubs,6
Milwaukee Brewers,3,Chicago Cubs,1
Kansas City Royals,3,Cleveland Guardians,7
Miami Marlins,1,Colorado Rockies,7
Minnesota Twins,5,Detroit Tigers,7
Pittsburgh Pirates,6,Los Angeles Dodgers,5
Washington Nationals,5,New York Mets,13
Houston Astros,5,Oakland Athletics,1
San Francisco Giants,5,Philadelphia Phillies,4
San Diego Padres,3,St. Louis Cardinals,6
Tampa Bay Rays,5,Texas Rangers,9
Atlanta Braves,7,Arizona D'Backs,8
Seattle Mariners,10,Baltimore Orioles,0
Cincinnati Reds,2,Boston Red Sox,1
Milwaukee Brewers,7,Chicago Cubs,8
Kansas City Royals,3,Cleveland Guardians,8
Minnesota Twins,8,Detroit Tigers,2
Minnesota Twins,0,Detroit Tigers,4
Pittsburgh Pirates,5,Los Angeles Dodgers,3
Los Angeles Angels,1,New York Yankees,9
Washington Nationals,0,New York Mets,10
Houston Astros,3,Oakland Athletics,1
San Francisco Giants,7,Philadelphia Phillies,4
San Diego Padres,2,St. Louis Cardinals,3
Tampa Bay Rays,0,Texas Rangers,3
Chicago White Sox,5,Toronto Blue Jays,6
Atlanta Braves,6,Arizona D'Backs,0
Seattle Mariners,2,Baltimore Orioles,9
Cincinnati Reds,1,Boston Red Sox,7
Milwaukee Brewers,3,Chicago Cubs,4
Kansas City Royals,0,Cleveland Guardians,4
Miami Marlins,14,Colorado Rockies,1
Miami Marlins,12,Colorado Rockies,13
Minnesota Twins,0,Detroit Tigers,5
Pittsburgh Pirates,8,Los Angeles Dodgers,4
Washington Nationals,0,New York Mets,5
Houston Astros,5,Oakland Athletics,4
San Francisco Giants,5,Philadelphia Phillies,6
San Diego Padres,2,St. Louis Cardinals,5
Tampa Bay Rays,4,Texas Rangers,3
Chicago White Sox,3,Toronto Blue Jays,7
Seattle Mariners,7,Baltimore Orioles,6
St. Louis Cardinals,5,Chicago Cubs,7
Washington Nationals,1,Cincinnati Reds,8
Atlanta Braves,13,Colorado Rockies,6
Minnesota Twins,2,Detroit Tigers,3
New York Mets,0,Los Angeles Dodgers,2
San Francisco Giants,0,Miami Marlins,3
San Diego Padres,4,Milwaukee Brewers,5
Los Angeles Angels,1,New York Yankees,6
Los Angeles Angels,1,New York Yankees,2
Tampa Bay Rays,3,Texas Rangers,1
Chicago White Sox,3,Toronto Blue Jays,8
Cleveland Guardians,6,Baltimore Orioles,3
St. Louis Cardinals,14,Chicago Cubs,5
Washington Nationals,8,Cincinnati Reds,5
Atlanta Braves,3,Colorado Rockies,1
Houston Astros,10,Kansas City Royals,3
New York Mets,1,Los Angeles Dodgers,6
San Francisco Giants,15,Miami Marlins,6
San Diego Padres,7,Milwaukee Brewers,0
Detroit Tigers,0,New York Yankees,13
Boston Red Sox,7,Oakland Athletics,2
Los Angeles Angels,0,Philadelphia Phillies,10
Arizona D'Backs,8,Pittsburgh Pirates,6
Chicago White Sox,3,Tampa Bay Rays,6
Seattle Mariners,4,Texas Rangers,3
Minnesota Twins,9,Toronto Blue Jays,3
Cleveland Guardians,4,Baltimore Orioles,5
St. Louis Cardinals,1,Chicago Cubs,6
St. Louis Cardinals,7,Chicago Cubs,4
Washington Nationals,10,Cincinnati Reds,8
Atlanta Braves,6,Colorado Rockies,2
Houston Astros,0,Kansas City Royals,6
New York Mets,9,Los Angeles Dodgers,4
San Francisco Giants,4,Miami Marlins,5
San Diego Padres,4,Milwaukee Brewers,0
Detroit Tigers,0,New York Yankees,3
Boston Red Sox,8,Oakland Athletics,0
Los Angeles Angels,2,Philadelphia Phillies,7
Arizona D'Backs,1,Pittsburgh Pirates,2
Chicago White Sox,3,Tampa Bay Rays,2
Seattle Mariners,2,Texas Rangers,3
Minnesota Twins,3,Toronto Blue Jays,12
Cleveland Guardians,3,Baltimore Orioles,2
St. Louis Cardinals,5,Chicago Cubs,3
Washington Nationals,5,Cincinnati Reds,4
Atlanta Braves,8,Colorado Rockies,7
Houston Astros,7,Kansas City Royals,4
New York Mets,5,Los Angeles Dodgers,4
San Francisco Giants,5,Miami Marlins,1
San Diego Padres,6,Milwaukee Brewers,4
Detroit Tigers,4,New York Yankees,5
Boston Red Sox,5,Oakland Athletics,2
Los Angeles Angels,7,Philadelphia Phillies,9
Arizona D'Backs,0,Pittsburgh Pirates,3
Chicago White Sox,6,Tampa Bay Rays,5
Seattle Mariners,6,Texas Rangers,5
Minnesota Twins,8,Toronto Blue Jays,6
Boston Red Sox,1,Los Angeles Angels,0
Arizona D'Backs,0,Cincinnati Reds,7
Seattle Mariners,7,Houston Astros,4
Toronto Blue Jays,8,Kansas City Royals,0
New York Mets,11,San Diego Padres,5
Boston Red Sox,6,Los Angeles Angels,5
Oakland Athletics,2,Atlanta Braves,3
Chicago Cubs,3,Baltimore Orioles,9
Los Angeles Dodgers,0,Chicago White Sox,4
Arizona D'Backs,8,Cincinnati Reds,14
Texas Rangers,3,Cleveland Guardians,6
Texas Rangers,6,Cleveland Guardians,3
Seattle Mariners,1,Houston Astros,4
Toronto Blue Jays,7,Kansas City Royals,0
Washington Nationals,2,Miami Marlins,12
Philadelphia Phillies,3,Milwaukee Brewers,2
New York Yankees,10,Minnesota Twins,4
Detroit Tigers,5,Pittsburgh Pirates,3
New York Mets,0,San Diego Padres,7
Colorado Rockies,5,San Francisco Giants,3
St. Louis Cardinals,2,Tampa Bay Rays,4
Boston Red Sox,1,Los Angeles Angels,0
Oakland Athletics,2,Atlanta Braves,13
Los Angeles Dodgers,4,Chicago White Sox,1
Arizona D'Backs,7,Cincinnati Reds,0
Texas Rangers,0,Cleveland Guardians,4
Seattle Mariners,6,Houston Astros,3
Toronto Blue Jays,4,Kansas City Royals,8
Washington Nationals,1,Miami Marlins,2
Philadelphia Phillies,10,Milwaukee Brewers,0
New York Yankees,1,Minnesota Twins,8
Detroit Tigers,3,Pittsburgh Pirates,1
New York Mets,2,San Diego Padres,13
Colorado Rockies,1,San Francisco Giants,2
St. Louis Cardinals,3,Tampa Bay Rays,11
Boston Red Sox,2,Los Angeles Angels,5
Pittsburgh Pirates,1,Atlanta Braves,3
Los Angeles Dodgers,11,Chicago White Sox,9
Arizona D'Backs,5,Cincinnati Reds,4
Oakland Athletics,4,Cleveland Guardians,8
Baltimore Orioles,5,Kansas City Royals,7
Washington Nationals,4,Miami Marlins,7
Philadelphia Phillies,8,Milwaukee Brewers,3
New York Yankees,10,Minnesota Twins,7
Colorado Rockies,4,San Francisco Giants,2
St. Louis Cardinals,1,Tampa Bay Rays,2
New York Mets,7,Los Angeles Angels,3
Pittsburgh Pirates,2,Atlanta Braves,4
Texas Rangers,3,Chicago White Sox,8
Oakland Athletics,2,Cleveland Guardians,3
Toronto Blue Jays,10,Detroit Tigers,1
Miami Marlins,7,Houston Astros,4
Baltimore Orioles,1,Kansas City Royals,8
Tampa Bay Rays,4,Minnesota Twins,9
Chicago Cubs,1,New York Yankees,2
Arizona D'Backs,5,Philadelphia Phillies,7
Colorado Rockies,0,San Diego Padres,9
Boston Red Sox,4,Seattle Mariners,3
Los Angeles Dodgers,2,San Francisco Giants,7
Cincinnati Reds,0,St. Louis Cardinals,2
Milwaukee Brewers,5,Washington Nationals,11
New York Mets,6,Los Angeles Angels,11
Pittsburgh Pirates,4,Atlanta Braves,10
Texas Rangers,11,Chicago White Sox,9
Oakland Athletics,10,Cleveland Guardians,5
Toronto Blue Jays,1,Detroit Tigers,3
Miami Marlins,5,Houston Astros,1
Baltimore Orioles,6,Kansas City Royals,4
Tampa Bay Rays,5,Minnesota Twins,6
Chicago Cubs,0,New York Yankees,8
Arizona D'Backs,0,Philadelphia Phillies,4
Colorado Rockies,1,San Diego Padres,2
Colorado Rockies,6,San Diego Padres,2
Boston Red Sox,6,Seattle Mariners,7
Los Angeles Dodgers,2,San Francisco Giants,3
Cincinnati Reds,4,St. Louis Cardinals,5
Milwaukee Brewers,6,Washington Nationals,8
New York Mets,4,Los Angeles Angels,1
Pittsburgh Pirates,3,Atlanta Braves,5
Texas Rangers,8,Chicago White Sox,6
Oakland Athletics,3,Cleveland Guardians,6
Toronto Blue Jays,6,Detroit Tigers,0
Miami Marlins,4,Houston Astros,9
Baltimore Orioles,10,Kansas City Royals,7
Tampa Bay Rays,6,Minnesota Twins,0
Chicago Cubs,4,New York Yankees,18
Arizona D'Backs,13,Philadelphia Phillies,1
Colorado Rockies,4,San Diego Padres,2
Boston Red Sox,2,Seattle Mariners,0
Los Angeles Dodgers,0,San Francisco Giants,2
Cincinnati Reds,7,St. Louis Cardinals,6
Milwaukee Brewers,4,Washington Nationals,1
Cincinnati Reds,5,Arizona D'Backs,4
San Diego Padres,4,Chicago Cubs,1
Chicago White Sox,9,Detroit Tigers,5
Miami Marlins,2,Philadelphia Phillies,3
Minnesota Twins,3,Seattle Mariners,2
Kansas City Royals,2,San Francisco Giants,6
Pittsburgh Pirates,5,St. Louis Cardinals,7
Houston Astros,3,Texas Rangers,5
Baltimore Orioles,1,Toronto Blue Jays,11
Atlanta Braves,9,Washington Nationals,5
Cincinnati Reds,5,Arizona D'Backs,3
Oakland Athletics,1,Boston Red Sox,6
San Diego Padres,12,Chicago Cubs,5
Cleveland Guardians,4,Colorado Rockies,3
Chicago White Sox,5,Detroit Tigers,1
Los Angeles Angels,0,Los Angeles Dodgers,2
Tampa Bay Rays,0,New York Yankees,2
Milwaukee Brewers,0,New York Mets,4
Miami Marlins,11,Philadelphia Phillies,9
Minnesota Twins,0,Seattle Mariners,5
Kansas City Royals,2,San Francisco Giants,4
Pittsburgh Pirates,1,St. Louis Cardinals,3
Pittsburgh Pirates,1,St. Louis Cardinals,9
Houston Astros,4,Texas Rangers,3
Baltimore Orioles,6,Toronto Blue Jays,5
Atlanta Braves,10,Washington Nationals,4
Cincinnati Reds,4,Arizona D'Backs,7
Oakland Athletics,1,Boston Red Sox,10
San Diego Padres,19,Chicago Cubs,5
Cleveland Guardians,7,Colorado Rockies,5
Chicago White Sox,13,Detroit Tigers,0
Los Angeles Angels,1,Los Angeles Dodgers,4
Tampa Bay Rays,3,New York Yankees,4
Milwaukee Brewers,10,New York Mets,2
Miami Marlins,1,Philadelphia Phillies,3
Minnesota Twins,5,Seattle Mariners,0
Kansas City Royals,3,San Francisco Giants,2
Pittsburgh Pirates,6,St. Louis Cardinals,4
Houston Astros,9,Texas Rangers,2
Baltimore Orioles,6,Toronto Blue Jays,7
Atlanta Braves,8,Washington Nationals,2
Oakland Athletics,4,Boston Red Sox,3
San Diego Padres,6,Chicago Cubs,4
Cleveland Guardians,4,Colorado Rockies,2
Texas Rangers,3,Detroit Tigers,1
Tampa Bay Rays,1,New York Yankees,2
Milwaukee Brewers,4,New York Mets,5
Los Angeles Angels,4,Seattle Mariners,1
Baltimore Orioles,10,Toronto Blue Jays,2
Philadelphia Phillies,10,Washington Nationals,1
Minnesota Twins,2,Arizona D'Backs,7
Tampa Bay Rays,0,Baltimore Orioles,1
St. Louis Cardinals,5,Boston Red Sox,6
Atlanta Braves,0,Chicago Cubs,1
Milwaukee Brewers,5,Cincinnati Reds,4
San Diego Padres,4,Colorado Rockies,10
Texas Rangers,7,Detroit Tigers,0
Chicago White Sox,3,Houston Astros,13
Cleveland Guardians,2,Los Angeles Dodgers,1
Miami Marlins,4,New York Mets,10
Kansas City Royals,5,Oakland Athletics,1
San Francisco Giants,2,Pittsburgh Pirates,0
Los Angeles Angels,1,Seattle Mariners,8
New York Yankees,12,Toronto Blue Jays,3
Philadelphia Phillies,5,Washington Nationals,3
Philadelphia Phillies,8,Washington Nationals,7
Minnesota Twins,11,Arizona D'Backs,1
Tampa Bay Rays,7,Baltimore Orioles,6
St. Louis Cardinals,11,Boston Red Sox,2
Atlanta Braves,3,Chicago Cubs,6
Milwaukee Brewers,7,Cincinnati Reds,3
San Diego Padres,4,Colorado Rockies,5
Texas Rangers,7,Detroit Tigers,14
Chicago White Sox,7,Houston Astros,0
Cleveland Guardians,1,Los Angeles Dodgers,7
Miami Marlins,2,New York Mets,3
Kansas City Royals,2,Oakland Athletics,0
San Francisco Giants,7,Pittsburgh Pirates,5
Los Angeles Angels,4,Seattle Mariners,2
Los Angeles Angels,3,Seattle Mariners,0
New York Yankees,4,Toronto Blue Jays,0
Philadelphia Phillies,2,Washington Nationals,1
Minnesota Twins,1,Arizona D'Backs,7
Tampa Bay Rays,1,Baltimore Orioles,2
St. Louis Cardinals,4,Boston Red Sox,6
Atlanta Braves,6,Chicago Cubs,0
Milwaukee Brewers,6,Cincinnati Reds,3
San Diego Padres,3,Colorado Rockies,8
Texas Rangers,3,Detroit Tigers,7
Chicago White Sox,3,Houston Astros,4
Cleveland Guardians,5,Los Angeles Dodgers,3
Miami Marlins,6,New York Mets,2
Kansas City Royals,0,Oakland Athletics,4
San Francisco Giants,3,Pittsburgh Pirates,4
Los Angeles Angels,4,Seattle Mariners,0
New York Yankees,9,Toronto Blue Jays,10
Philadelphia Phillies,3,Washington Nationals,9
Kansas City Royals,6,Los Angeles Angels,2
San Francisco Giants,1,Atlanta Braves,2
Detroit Tigers,2,Boston Red Sox,5
Toronto Blue Jays,7,Chicago White Sox,8
St. Louis Cardinals,0,Milwaukee Brewers,2
Miami Marlins,0,New York Mets,6
Chicago Cubs,1,Pittsburgh Pirates,12
Arizona D'Backs,1,San Diego Padres,4
New York Yankees,4,Tampa Bay Rays,2
Kansas City Royals,12,Los Angeles Angels,11
San Francisco Giants,12,Atlanta Braves,10
Washington Nationals,3,Baltimore Orioles,0
Detroit Tigers,4,Boston Red Sox,5
Toronto Blue Jays,6,Chicago White Sox,7
Los Angeles Dodgers,8,Cincinnati Reds,2
New York Mets,2,Houston Astros,8
Colorado Rockies,8,Miami Marlins,9
St. Louis Cardinals,6,Milwaukee Brewers,2
Cleveland Guardians,6,Minnesota Twins,5
Seattle Mariners,8,Oakland Athletics,2
Chicago Cubs,1,Pittsburgh Pirates,7
Arizona D'Backs,2,San Diego Padres,3
New York Yankees,4,Tampa Bay Rays,5
Philadelphia Phillies,0,Texas Rangers,7
Kansas City Royals,0,Los Angeles Angels,5
San Francisco Giants,3,Atlanta Braves,4
Washington Nationals,0,Baltimore Orioles,7
Detroit Tigers,2,Boston Red Sox,6
Toronto Blue Jays,9,Chicago White Sox,5
Los Angeles Dodgers,8,Cincinnati Reds,4
New York Mets,3,Houston Astros,5
Colorado Rockies,4,Miami Marlins,7
St. Louis Cardinals,5,Milwaukee Brewers,4
Cleveland Guardians,11,Minnesota Twins,10
Seattle Mariners,9,Oakland Athletics,0
Chicago Cubs,14,Pittsburgh Pirates,5
Arizona D'Backs,4,San Diego Padres,10
New York Yankees,5,Tampa Bay Rays,4
Philadelphia Phillies,2,Texas Rangers,4
San Francisco Giants,6,Atlanta Braves,7
Baltimore Orioles,4,Chicago White Sox,0
Los Angeles Dodgers,10,Cincinnati Reds,5
Colorado Rockies,2,Miami Marlins,3
St. Louis Cardinals,4,Milwaukee Brewers,6
Cleveland Guardians,0,Minnesota Twins,1
Houston Astros,6,New York Yankees,7
Seattle Mariners,2,Oakland Athletics,1
Chicago Cubs,7,Pittsburgh Pirates,8
Philadelphia Phillies,6,San Diego Padres,2
Seattle Mariners,4,Los Angeles Angels,3
Detroit Tigers,5,Arizona D'Backs,1
Los Angeles Dodgers,4,Atlanta Braves,1
Baltimore Orioles,4,Chicago White Sox,1
Boston Red Sox,6,Cleveland Guardians,3
Oakland Athletics,1,Kansas City Royals,3
New York Mets,5,Miami Marlins,3
Toronto Blue Jays,9,Milwaukee Brewers,4
Colorado Rockies,1,Minnesota Twins,0
Houston Astros,3,New York Yankees,1
Philadelphia Phillies,0,San Diego Padres,1
Cincinnati Reds,4,San Francisco Giants,2
Chicago Cubs,3,St. Louis Cardinals,0
Pittsburgh Pirates,3,Tampa Bay Rays,4
Washington Nationals,2,Texas Rangers,1
Seattle Mariners,5,Los Angeles Angels,3
Detroit Tigers,6,Arizona D'Backs,3
Los Angeles Dodgers,3,Atlanta Braves,5
Baltimore Orioles,6,Chicago White Sox,2
Boston Red Sox,4,Cleveland Guardians,2
Oakland Athletics,9,Kansas City Royals,7
New York Mets,5,Miami Marlins,3
Toronto Blue Jays,4,Milwaukee Brewers,5
Colorado Rockies,0,Minnesota Twins,6
Houston Astros,3,New York Yankees,0
Philadelphia Phillies,4,San Diego Padres,2
Cincinnati Reds,2,San Francisco Giants,9
Chicago Cubs,3,St. Louis Cardinals,5
Pittsburgh Pirates,5,Tampa Bay Rays,6
Washington Nationals,2,Texas Rangers,3
Seattle Mariners,1,Los Angeles Angels,2
Detroit Tigers,7,Arizona D'Backs,11
Los Angeles Dodgers,5,Atlanta Braves,3
Baltimore Orioles,3,Chicago White Sox,4
Boston Red Sox,8,Cleveland Guardians,3
Oakland Athletics,5,Kansas City Royals,3
New York Mets,2,Miami Marlins,3
Toronto Blue Jays,3,Milwaukee Brewers,10
Colorado Rockies,3,Minnesota Twins,6
Houston Astros,3,New York Yankees,6
Philadelphia Phillies,8,San Diego Padres,5
Cincinnati Reds,10,San Francisco Giants,3
Chicago Cubs,6,St. Louis Cardinals,5
Pittsburgh Pirates,2,Tampa Bay Rays,4
Washington Nationals,6,Texas Rangers,4
Chicago White Sox,3,Los Angeles Angels,4
Minnesota Twins,11,Cleveland Guardians,1
Los Angeles Dodgers,0,Colorado Rockies,4
Texas Rangers,10,Kansas City Royals,4
Oakland Athletics,5,New York Yankees,9
Baltimore Orioles,9,Seattle Mariners,2
Miami Marlins,0,St. Louis Cardinals,9
Boston Red Sox,2,Toronto Blue Jays,7
Pittsburgh Pirates,2,Washington Nationals,3
Chicago White Sox,11,Los Angeles Angels,4
San Diego Padres,6,Arizona D'Backs,7
Cincinnati Reds,5,Chicago Cubs,3
Minnesota Twins,2,Cleveland Guardians,3
Minnesota Twins,6,Cleveland Guardians,0
Los Angeles Dodgers,4,Colorado Rockies,7
Texas Rangers,8,Kansas City Royals,3
Oakland Athletics,1,New York Yankees,2
Houston Astros,9,New York Mets,1
Atlanta Braves,5,Philadelphia Phillies,3
Baltimore Orioles,0,Seattle Mariners,2
Detroit Tigers,3,San Francisco Giants,4
Miami Marlins,3,St. Louis Cardinals,5
Milwaukee Brewers,5,Tampa Bay Rays,3
Boston Red Sox,5,Toronto Blue Jays,6
Pittsburgh Pirates,1,Washington Nationals,3
Chicago White Sox,1,Los Angeles Angels,4
San Diego Padres,4,Arizona D'Backs,0
Cincinnati Reds,3,Chicago Cubs,8
Minnesota Twins,6,Cleveland Guardians,7
Los Angeles Dodgers,8,Colorado Rockies,4
Texas Rangers,1,Kansas City Royals,2
Oakland Athletics,3,New York Yankees,5
Houston Astros,2,New York Mets,0
Atlanta Braves,4,Philadelphia Phillies,1
Baltimore Orioles,3,Seattle Mariners,9
Detroit Tigers,3,San Francisco Giants,2
Miami Marlins,4,St. Louis Cardinals,3
Milwaukee Brewers,5,Tampa Bay Rays,3
Boston Red Sox,6,Toronto Blue Jays,5
Pittsburgh Pirates,8,Washington Nationals,7
Cincinnati Reds,7,Chicago Cubs,15
Minnesota Twins,3,Cleveland Guardians,5
New York Yankees,1,Houston Astros,2
San Diego Padres,1,Los Angeles Dodgers,3
Atlanta Braves,4,Philadelphia Phillies,14
Milwaukee Brewers,7,Pittsburgh Pirates,8
Oakland Athletics,6,Seattle Mariners,8
Tampa Bay Rays,1,Toronto Blue Jays,4
Boston Red Sox,5,Chicago Cubs,6
Atlanta Braves,9,Cincinnati Reds,1
Arizona D'Backs,9,Colorado Rockies,3
Kansas City Royals,3,Detroit Tigers,1
Los Angeles Angels,1,Houston Astros,8
San Diego Padres,1,Los Angeles Dodgers,5
Baltimore Orioles,2,Minnesota Twins,3
Texas Rangers,3,New York Mets,4
St. Louis Cardinals,3,Philadelphia Phillies,5
Milwaukee Brewers,19,Pittsburgh Pirates,2
Oakland Athletics,3,Seattle Mariners,1
Chicago White Sox,1,San Francisco Giants,0
Tampa Bay Rays,2,Toronto Blue Jays,9
Miami Marlins,6,Washington Nationals,3
Boston Red Sox,1,Chicago Cubs,3
Atlanta Braves,4,Cincinnati Reds,1
New York Yankees,13,Cleveland Guardians,4
New York Yankees,6,Cleveland Guardians,1
Arizona D'Backs,7,Colorado Rockies,11
Kansas City Royals,3,Detroit Tigers,4
Los Angeles Angels,1,Houston Astros,9
San Diego Padres,2,Los Angeles Dodgers,7
Baltimore Orioles,3,Minnesota Twins,4
Texas Rangers,7,New York Mets,3
St. Louis Cardinals,7,Philadelphia Phillies,6
Milwaukee Brewers,4,Pittsburgh Pirates,7
Oakland Athletics,1,Seattle Mariners,2
Chicago White Sox,5,San Francisco Giants,3
Tampa Bay Rays,6,Toronto Blue Jays,2
Tampa Bay Rays,11,Toronto Blue Jays,5
Miami Marlins,5,Washington Nationals,3
Boston Red Sox,4,Chicago Cubs,2
Atlanta Braves,3,Cincinnati Reds,4
New York Yankees,0,Cleveland Guardians,2
Arizona D'Backs,5,Colorado Rockies,6
Kansas City Royals,7,Detroit Tigers,4
Los Angeles Angels,2,Houston Astros,4
San Diego Padres,4,Los Angeles Dodgers,2
Baltimore Orioles,3,Minnesota Twins,1
Texas Rangers,1,New York Mets,4
St. Louis Cardinals,0,Philadelphia Phillies,4
Milwaukee Brewers,2,Pittsburgh Pirates,0
Oakland Athletics,1,Seattle Mariners,2
Chicago White Sox,13,San Francisco Giants,4
Tampa Bay Rays,7,Toronto Blue Jays,3
Miami Marlins,7,Washington Nationals,4
San Francisco Giants,3,Arizona D'Backs,8
St. Louis Cardinals,3,Atlanta Braves,6
Texas Rangers,6,Baltimore Orioles,7
Tampa Bay Rays,0,Boston Red Sox,4
Minnesota Twins,6,Chicago White Sox,3
New York Mets,7,Cincinnati Reds,4
Cleveland Guardians,1,Detroit Tigers,4
Cleveland Guardians,3,Detroit Tigers,5
Kansas City Royals,6,Houston Astros,7
Colorado Rockies,3,Los Angeles Dodgers,5
Chicago Cubs,2,Milwaukee Brewers,5
Toronto Blue Jays,1,Oakland Athletics,5
Seattle Mariners,8,San Diego Padres,2
Miami Marlins,3,Washington Nationals,2
San Francisco Giants,2,Arizona D'Backs,6
St. Louis Cardinals,1,Atlanta Braves,7
Texas Rangers,9,Baltimore Orioles,10
Tampa Bay Rays,8,Boston Red Sox,4
Minnesota Twins,8,Chicago White Sox,2
New York Mets,0,Cincinnati Reds,1
Cleveland Guardians,4,Detroit Tigers,11
Kansas City Royals,7,Houston Astros,9
Colorado Rockies,2,Los Angeles Dodgers,5
Los Angeles Angels,1,Miami Marlins,2
Chicago Cubs,8,Milwaukee Brewers,3
Toronto Blue Jays,3,Oakland Athletics,5
Washington Nationals,0,Philadelphia Phillies,11
New York Yankees,2,Pittsburgh Pirates,5
Seattle Mariners,6,San Diego Padres,2
San Francisco Giants,7,Arizona D'Backs,5
St. Louis Cardinals,0,Atlanta Braves,3
Texas Rangers,1,Baltimore Orioles,2
Tampa Bay Rays,7,Boston Red Sox,1
Minnesota Twins,8,Chicago White Sox,9
New York Mets,8,Cincinnati Reds,3
Cleveland Guardians,2,Detroit Tigers,8
Kansas City Royals,7,Houston Astros,4
Colorado Rockies,1,Los Angeles Dodgers,2
Los Angeles Angels,5,Miami Marlins,2
Chicago Cubs,2,Milwaukee Brewers,1
Toronto Blue Jays,2,Oakland Athletics,1
Washington Nationals,3,Philadelphia Phillies,2
New York Yankees,16,Pittsburgh Pirates,0
Colorado Rockies,4,Arizona D'Backs,3
