Away Team,Away Score,Home Team,Home Score
New York Yankees,0,Tampa Bay Rays,1
Los Angeles Angels,3,Texas Rangers,4
Baltimore Orioles,11,Washington Nationals,0
Toronto Blue Jays,2,Boston Red Sox,1
Cleveland Indians,7,Chicago White Sox,1
Minnesota Twins,6,Kansas City Royals,9
San Francisco Giants,5,Los Angeles Dodgers,4
Cincinnati Reds,4,Milwaukee Brewers,1
Miami Marlins,4,New York Mets,8
Houston Astros,1,Oakland Athletics,3
Atlanta Braves,0,Philadelphia Phillies,5
Detroit Tigers,11,Pittsburgh Pirates,5
Arizona D'Backs,3,San Diego Padres,2
Colorado Rockies,5,Seattle Mariners,0
New York Yankees,8,Tampa Bay Rays,4
New York Yankees,3,Tampa Bay Rays,5
Los Angeles Angels,0,Texas Rangers,2
Baltimore Orioles,5,Washington Nationals,3
Toronto Blue Jays,3,Boston Red Sox,5
Cleveland Indians,5,Chicago White Sox,4
Minnesota Twins,2,Kansas City Royals,4
San Francisco Giants,2,Los Angeles Dodgers,6
Cincinnati Reds,3,Milwaukee Brewers,9
Miami Marlins,2,New York Mets,4
Houston Astros,2,Oakland Athletics,7
Atlanta Braves,5,Philadelphia Phillies,2
Atlanta Braves,8,Philadelphia Phillies,0
Detroit Tigers,2,Pittsburgh Pirates,1
Arizona D'Backs,5,San Diego Padres,9
Colorado Rockies,3,Seattle Mariners,5
New York Yankees,3,Tampa Bay Rays,4
Los Angeles Angels,3,Texas Rangers,7
Baltimore Orioles,6,Washington Nationals,2
Oakland Athletics,9,Los Angeles Angels,10
Tampa Bay Rays,8,Boston Red Sox,7
Arizona D'Backs,12,Colorado Rockies,8
Chicago White Sox,1,Detroit Tigers,5
San Francisco Giants,4,Houston Astros,6
San Diego Padres,2,Los Angeles Dodgers,1
Minnesota Twins,4,Milwaukee Brewers,2
Washington Nationals,16,New York Mets,4
Atlanta Braves,8,Philadelphia Phillies,13
Seattle Mariners,10,Texas Rangers,2
Oakland Athletics,0,Los Angeles Angels,6
Tampa Bay Rays,8,Boston Red Sox,2
Kansas City Royals,5,Cincinnati Reds,6
Chicago Cubs,7,Cleveland Indians,1
Arizona D'Backs,7,Colorado Rockies,8
Chicago White Sox,8,Detroit Tigers,4
San Francisco Giants,7,Houston Astros,6
San Diego Padres,6,Los Angeles Dodgers,2
Minnesota Twins,4,Milwaukee Brewers,6
Atlanta Braves,6,New York Yankees,9
Washington Nationals,2,New York Mets,1
Baltimore Orioles,10,Philadelphia Phillies,9
Seattle Mariners,2,Texas Rangers,4
Miami Marlins,4,Toronto Blue Jays,5
Oakland Athletics,8,Los Angeles Angels,4
Tampa Bay Rays,9,Boston Red Sox,5
Kansas City Royals,5,Cincinnati Reds,4
Chicago Cubs,7,Cleveland Indians,2
Arizona D'Backs,13,Colorado Rockies,7
Chicago White Sox,7,Detroit Tigers,5
San Francisco Giants,1,Houston Astros,5
San Diego Padres,0,Los Angeles Dodgers,6
Minnesota Twins,12,Milwaukee Brewers,2
Atlanta Braves,3,New York Yankees,6
Washington Nationals,6,New York Mets,11
Baltimore Orioles,5,Philadelphia Phillies,4
Seattle Mariners,4,Texas Rangers,7
Miami Marlins,14,Toronto Blue Jays,11
Tampa Bay Rays,17,Boston Red Sox,8
Milwaukee Brewers,2,Chicago Cubs,4
Pittsburgh Pirates,9,Cincinnati Reds,6
San Diego Padres,2,Los Angeles Dodgers,11
Washington Nationals,2,New York Mets,8
Baltimore Orioles,11,Philadelphia Phillies,4
Los Angeles Dodgers,7,Los Angeles Angels,4
San Diego Padres,1,Arizona D'Backs,5
Washington Nationals,15,Baltimore Orioles,3
Milwaukee Brewers,4,Chicago Cubs,3
Pittsburgh Pirates,1,Cincinnati Reds,8
Texas Rangers,3,Colorado Rockies,2
Cleveland Indians,10,Detroit Tigers,5
Seattle Mariners,1,Houston Astros,11
Atlanta Braves,2,Miami Marlins,8
Boston Red Sox,3,New York Yankees,10
New York Mets,5,Philadelphia Phillies,6
Oakland Athletics,8,San Francisco Giants,7
Tampa Bay Rays,4,Toronto Blue Jays,12
Los Angeles Dodgers,6,Los Angeles Angels,5
San Diego Padres,6,Arizona D'Backs,7
Washington Nationals,3,Baltimore Orioles,7
St. Louis Cardinals,5,Chicago White Sox,1
St. Louis Cardinals,6,Chicago White Sox,3
Milwaukee Brewers,6,Chicago Cubs,5
Texas Rangers,6,Colorado Rockies,4
Cleveland Indians,3,Detroit Tigers,1
Seattle Mariners,1,Houston Astros,2
Atlanta Braves,2,Miami Marlins,1
Kansas City Royals,2,Minnesota Twins,4
Kansas City Royals,4,Minnesota Twins,2
Boston Red Sox,5,New York Yankees,11
New York Mets,2,Philadelphia Phillies,6
Oakland Athletics,7,San Francisco Giants,6
Tampa Bay Rays,3,Toronto Blue Jays,2
Los Angeles Dodgers,8,Los Angeles Angels,3
San Diego Padres,4,Arizona D'Backs,5
Washington Nationals,6,Baltimore Orioles,5
St. Louis Cardinals,2,Chicago White Sox,7
Milwaukee Brewers,6,Chicago Cubs,5
Texas Rangers,6,Colorado Rockies,10
Cleveland Indians,8,Detroit Tigers,5
Seattle Mariners,2,Houston Astros,3
Atlanta Braves,4,Miami Marlins,0
Kansas City Royals,2,Minnesota Twins,4
Boston Red Sox,2,New York Yankees,4
New York Mets,2,Philadelphia Phillies,6
Oakland Athletics,15,San Francisco Giants,3
Tampa Bay Rays,7,Toronto Blue Jays,5
San Francisco Giants,6,Los Angeles Angels,7
Oakland Athletics,3,Arizona D'Backs,4
Washington Nationals,6,Atlanta Braves,7
Toronto Blue Jays,7,Baltimore Orioles,2
Detroit Tigers,2,Chicago White Sox,7
St. Louis Cardinals,3,Chicago Cubs,1
St. Louis Cardinals,4,Chicago Cubs,5
Colorado Rockies,1,Houston Astros,2
Seattle Mariners,9,Los Angeles Dodgers,11
New York Mets,11,Miami Marlins,4
Kansas City Royals,1,Minnesota Twins,4
Boston Red Sox,3,New York Yankees,6
San Diego Padres,14,Texas Rangers,4
San Francisco Giants,8,Los Angeles Angels,2
Oakland Athletics,1,Arizona D'Backs,10
Washington Nationals,8,Atlanta Braves,5
Toronto Blue Jays,8,Baltimore Orioles,7
Philadelphia Phillies,13,Boston Red Sox,6
Detroit Tigers,4,Chicago White Sox,10
St. Louis Cardinals,3,Chicago Cubs,6
Colorado Rockies,1,Houston Astros,2
Seattle Mariners,1,Los Angeles Dodgers,2
New York Mets,8,Miami Marlins,3
Milwaukee Brewers,3,Minnesota Twins,4
Tampa Bay Rays,6,New York Yankees,3
Cleveland Indians,6,Pittsburgh Pirates,3
San Diego Padres,6,Texas Rangers,4
Toronto Blue Jays,5,Baltimore Orioles,2
Philadelphia Phillies,3,Boston Red Sox,6
Detroit Tigers,3,Chicago White Sox,5
St. Louis Cardinals,9,Chicago Cubs,3
St. Louis Cardinals,2,Chicago Cubs,4
Houston Astros,13,Colorado Rockies,6
Cincinnati Reds,0,Kansas City Royals,4
Cincinnati Reds,5,Kansas City Royals,0
New York Mets,5,Miami Marlins,3
Milwaukee Brewers,9,Minnesota Twins,3
Tampa Bay Rays,4,New York Yankees,2
Arizona D'Backs,1,Oakland Athletics,4
Cleveland Indians,6,Pittsburgh Pirates,1
Texas Rangers,3,San Diego Padres,6
Los Angeles Dodgers,4,Seattle Mariners,6
Los Angeles Angels,2,San Francisco Giants,7
Boston Red Sox,7,Baltimore Orioles,1
Detroit Tigers,0,Chicago White Sox,9
Houston Astros,10,Colorado Rockies,8
Milwaukee Brewers,1,Minnesota Twins,7
Tampa Bay Rays,10,New York Yankees,5
Arizona D'Backs,1,Oakland Athletics,5
Cleveland Indians,2,Pittsburgh Pirates,0
Texas Rangers,7,San Diego Padres,8
Los Angeles Dodgers,6,Seattle Mariners,1
Los Angeles Angels,5,San Francisco Giants,10
Cincinnati Reds,4,St. Louis Cardinals,5
Philadelphia Phillies,2,Toronto Blue Jays,3
Philadelphia Phillies,8,Toronto Blue Jays,9
Philadelphia Phillies,2,Atlanta Braves,11
Boston Red Sox,8,Baltimore Orioles,5
Chicago White Sox,10,Chicago Cubs,1
Detroit Tigers,10,Cleveland Indians,5
Minnesota Twins,2,Kansas City Royals,7
Colorado Rockies,1,Los Angeles Dodgers,5
Los Angeles Angels,3,Oakland Athletics,5
Milwaukee Brewers,2,Pittsburgh Pirates,7
Houston Astros,3,San Diego Padres,4
Texas Rangers,4,Seattle Mariners,7
Arizona D'Backs,2,San Francisco Giants,6
Cincinnati Reds,4,St. Louis Cardinals,2
Toronto Blue Jays,6,Tampa Bay Rays,5
Miami Marlins,3,Washington Nationals,2
Philadelphia Phillies,5,Atlanta Braves,6
Boston Red Sox,4,Baltimore Orioles,5
Chicago White Sox,7,Chicago Cubs,4
Detroit Tigers,1,Cleveland Indians,6
Minnesota Twins,7,Kansas City Royals,2
Colorado Rockies,3,Los Angeles Dodgers,4
Los Angeles Angels,4,Oakland Athletics,3
Milwaukee Brewers,5,Pittsburgh Pirates,12
Houston Astros,2,San Diego Padres,13
Texas Rangers,1,Seattle Mariners,10
Arizona D'Backs,1,San Francisco Giants,5
Cincinnati Reds,0,St. Louis Cardinals,3
Toronto Blue Jays,1,Tampa Bay Rays,2
Miami Marlins,4,Washington Nationals,5
Miami Marlins,5,Washington Nationals,3
Philadelphia Phillies,5,Atlanta Braves,4
Boston Red Sox,4,Baltimore Orioles,5
Chicago White Sox,1,Chicago Cubs,2
Detroit Tigers,7,Cleveland Indians,4
Minnesota Twins,5,Kansas City Royals,4
Colorado Rockies,3,Los Angeles Dodgers,11
Los Angeles Angels,4,Oakland Athletics,5
Milwaukee Brewers,4,Pittsburgh Pirates,5
